wifi_spot_id,wifi_spot_name,wifi_spot_latitude,wifi_spot_longitude,wifi_spot_description,wifi_spot_air_conditioning,wifi_spot_child_friendly,wifi_spot_covered_area,wifi_spot_crowded,wifi_spot_disabled_access,wifi_spot_good_view,wifi_spot_noise_level,wifi_spot_signal_strength,wifi_spot_wifi_quality,wifi_spot_bandwidth_limitations,wifi_spot_location_type,wifi_spot_management,wifi_spot_available_power_outlets,wifi_spot_charging_stations,wifi_spot_pet_friendly,wifi_spot_food_options,wifi_spot_drink_options,wifi_spot_restrooms_available,wifi_spot_parking_availability,wifi_spot_user_id,wifi_spot_create_date_time,wifi_spot_address_line_1,wifi_spot_address_line_2,wifi_spot_address_city,wifi_spot_address_district,wifi_spot_address_country,wifi_spot_address_zip_code
1774fa7c-149a-47c4-bc35-0b25313338a9,Soares,-64.2367225,-132.609951,Commodi ipsum tempora sequi inventore.,False,True,False,True,True,True,0,1,2,True,1,1,True,True,False,True,False,True,True,519f7e20-093f-4cd3-8f7d-864650019f02,2022-12-04 03:52:17,Praça de Moura, 71,,Câmara de Lobos,Aveiro,Bélgica,3476-989
8106b783-9be8-4b47-9f91-5ffe78eb4f7c,Morais,-24.806995,145.993326,Dolor minima odit aliquid.,True,True,False,False,True,True,1,1,1,False,3,2,True,True,True,True,True,False,False,519f7e20-093f-4cd3-8f7d-864650019f02,2020-02-25 14:57:38,Travessa de Simões, 33,,Amadora,Leiria,Sara Ocidental,5124-489
9459bb20-2358-4f57-bd79-61c68fd88c75,Pires,17.6505455,37.149215,Quam dignissimos quam.,False,False,True,True,True,True,2,0,0,False,4,0,True,False,False,True,True,False,False,519f7e20-093f-4cd3-8f7d-864650019f02,2022-11-06 06:04:24,Largo Violeta Mota, 550,,Chaves,Santarém,São Vicente e Granadinas,6140-432
82c6bbb1-581a-4095-a29d-374b9b0f12a6,Vaz,-70.9652065,30.667712,Totam at sed.,False,False,False,False,False,False,2,2,0,True,1,2,True,False,False,False,False,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2023-11-29 19:47:35,R. Valente, 7,,Santa Comba Dão,Faro,Uruguai,0875-370
a4a31fc4-4ebe-406b-9f5d-8024490c93d7,Tavares Abreu S/A,-45.9172185,64.266386,Fuga autem maxime ullam voluptas ullam modi.,True,True,False,True,True,False,1,1,0,False,5,0,True,False,False,False,True,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2024-09-07 05:09:09,R. de Carneiro, 52,,Horta,Bragança,Polónia,8874-347
b7e7f56c-7042-40ca-8444-7809db859740,Paiva,-49.4620225,20.166736,Occaecati eligendi error rerum ullam quos.,True,False,True,False,True,False,1,0,2,False,1,2,False,True,False,False,True,False,True,519f7e20-093f-4cd3-8f7d-864650019f02,2024-04-13 07:24:40,Praça Sebastião Batista, 27,,Oliveira do Hospital,Lisboa,Nova Zelândia,2766-556
44f096df-8180-4841-b29c-b13461915df4,Correia Morais e Filhos,-45.1313775,79.280556,Officiis pariatur alias accusamus.,False,False,False,True,False,True,0,0,2,False,5,0,True,True,True,False,False,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2023-10-07 14:15:20,R. do Amazonas, 62,,Oliveira de Azeméis,Leiria,Finlândia,2980-904
0dad2d9d-e600-4799-be71-29e7a14ab190,Assunção,51.6184275,87.917579,Accusamus quasi magnam doloribus nam ex aliquid.,True,True,False,True,True,False,1,1,1,True,0,1,False,True,False,True,False,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2021-08-10 09:30:44,Avenida de Alves, S/N,,Santiago do Cacém,Viseu,Jersey,6321-684
7dba5b3d-8e8c-4ded-944b-2c3ee40d2bab,Ferreira Ramos e Filhos,-88.3260705,-39.962640,Commodi adipisci incidunt dolore eos.,True,False,False,False,False,True,0,1,2,False,3,0,True,False,False,False,False,False,False,519f7e20-093f-4cd3-8f7d-864650019f02,2024-11-21 03:45:14,Praça de Batista, S/N,,Porto Santo,Porto,Timor Leste,6595-222
02cecf7f-9e96-4157-96f3-d3cb494b7d5f,Mendes,73.4310335,-127.375872,Officia ipsam optio veritatis sint labore.,False,True,True,True,False,False,1,2,1,False,4,0,False,False,False,True,False,False,False,519f7e20-093f-4cd3-8f7d-864650019f02,2021-08-04 13:13:52,Praça Martins, 718,,Mealhada,Faro,Mongólia,5620-931
7d3aca08-ba2d-4a96-824f-92e8938d2297,Domingues,-21.792334,87.436573,Illo omnis nulla nulla asperiores.,True,True,False,True,True,True,1,2,1,True,5,0,False,False,False,False,False,False,False,519f7e20-093f-4cd3-8f7d-864650019f02,2025-01-22 12:13:24,Travessa de Pires, 6,,Esposende,Guarda,Croácia,3806-786
0c12aec3-a263-43d0-81fb-a4f844a05248,Mota,-76.9492955,-177.614830,Ullam aliquid reiciendis voluptates esse minus.,True,True,False,False,True,True,3,0,0,True,4,2,False,False,True,True,False,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2022-10-11 07:30:05,Praça Abreu, 2,,Póvoa de Santa Iria,Aveiro,Montenegro,8667-019
884d6c79-2b90-4581-be75-9e4aabb64860,Cruz,-69.4549295,-79.342749,Voluptatem rem veniam voluptatem id dolorem.,False,False,True,False,False,False,3,1,2,False,5,1,False,True,False,False,True,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2025-04-13 05:28:35,Alameda de Gaspar, 641,,Loures,Faro,Guatemala,5898-276
2cfcef92-51bc-4033-82a7-bf239ac0a367,Anjos,-25.4319225,106.500377,Voluptatibus dolor quasi voluptatem quis.,True,True,False,True,True,True,1,0,0,False,1,1,True,False,False,True,True,True,True,519f7e20-093f-4cd3-8f7d-864650019f02,2021-01-16 06:45:06,Av Wilson Simões, 78,,Vila do Conde,Coimbra,Guiné Equatorial,9323-342
56b0a341-d7c9-4d92-81a7-af4b73bab53b,Cardoso Faria S.A.,-28.898551,40.364178,Fuga aliquam magnam.,False,False,True,True,True,True,0,0,2,False,3,1,False,False,False,False,False,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2022-01-09 02:33:17,Largo das Amoreiras, 99,,Trancoso,Portalegre,Aruba,4333-265
1142f9b2-1c74-486b-bc8b-761ea7d0ad4c,Pires,53.613722,-25.965450,Velit occaecati sit illo cumque in.,True,True,True,True,True,False,1,1,2,False,3,0,True,False,False,True,True,True,True,519f7e20-093f-4cd3-8f7d-864650019f02,2023-10-05 22:21:01,Largo Reis, 80,,Sabugal,Coimbra,Brasil,9985-403
7860d007-a549-4b68-b1d5-254a9874d1eb,Almeida Jesus S.A.,-28.0915005,168.336728,Voluptas enim saepe porro eaque.,False,False,False,True,False,False,0,1,1,False,2,0,False,False,False,False,False,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2024-02-01 14:18:55,R. do Cidral de Baixo, 272,,Santo Tirso,Porto,Santa Helena,3485-218
d8d7ff32-2fbc-4b64-be8f-4dc83b7fe391,Silva,-35.903364,-109.262091,Earum consequatur nulla beatae.,False,True,True,True,True,False,2,2,2,False,5,1,False,True,False,False,False,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2021-11-30 03:50:30,Travessa do Duro, 6,,Torres Vedras,Castelo Branco,Baamas,6793-768
66766fad-b788-4068-8496-759791aa14a4,Melo,-32.1700725,16.444034,Sequi sunt autem. Vero blanditiis facere quos.,False,False,True,True,False,False,0,2,2,False,2,0,False,False,True,False,False,False,True,519f7e20-093f-4cd3-8f7d-864650019f02,2023-01-11 03:00:41,Praça Correia, 45,,Leiria,Beja,Baamas,3211-182
d0599db3-325d-424b-bfec-8a937182209f,Oliveira,84.2551555,-82.827565,Cum vero ipsam dolor.,True,False,False,True,True,False,3,1,0,False,1,0,False,False,False,False,True,False,True,519f7e20-093f-4cd3-8f7d-864650019f02,2024-08-24 12:00:48,Avenida Patrícia Monteiro, S/N,,Espinho,Coimbra,Panamá,0402-512
fb1d5c82-5909-46f7-bec8-616e43eaf5cd,Cunha,84.564304,-0.015938,Quis architecto velit recusandae iusto.,False,True,True,False,True,False,2,0,0,True,3,2,True,False,True,True,False,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2023-09-10 00:30:16,Travessa Fernandes, 58,,Torres Novas,Faro,Ilha do Natal,6870-774
c196c9fc-27c3-48f4-bf8a-1ea9b594069f,Costa,16.408986,-128.615579,Maiores molestias itaque deserunt vero cum animi.,False,False,True,True,True,True,0,0,2,False,6,2,False,True,False,True,False,True,True,519f7e20-093f-4cd3-8f7d-864650019f02,2021-01-17 22:47:48,R. de Garcia, 7,,Serpa,Guarda,Zâmbia,3299-639
0d677994-a92e-43ee-bd0e-3d0596df5b7d,Torres,-67.817185,-101.666281,Quia consequatur ducimus sunt laudantium.,False,True,False,False,True,False,0,0,2,True,6,2,True,True,False,False,False,True,True,519f7e20-093f-4cd3-8f7d-864650019f02,2021-02-10 21:12:58,Largo Adriana Alves, 655,,Figueira da Foz,Castelo Branco,Macedónia do Norte,7633-168
4d6dc70a-7364-499d-9bc8-1e71ff57348d,Anjos Neto e Filhos,-75.0009045,-26.297628,Dolorem ipsa non veniam iure eligendi ullam ut.,False,False,True,True,False,True,3,1,0,True,0,0,False,False,True,True,False,True,True,519f7e20-093f-4cd3-8f7d-864650019f02,2023-09-14 16:06:03,Av das Gaivotas ao Parque das Nações, 52,,Ovar,Lisboa,Mayotte,9676-684
d398dbd3-bdf0-4b32-a21b-ae99b19a5d93,Lourenço e Filhos,-86.313947,158.421282,Minus asperiores repellendus pariatur.,False,True,True,True,True,True,3,1,1,True,4,0,False,False,False,True,False,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2024-12-15 18:00:04,Praça Vítor Monteiro, S/N,,Moura,Castelo Branco,Chile,1359-184
463cfa0f-bdb9-4ee9-aaa4-c6d125768911,Pinto,-26.5498835,56.913839,Nihil nam error eum reiciendis.,False,False,False,False,True,True,2,2,2,True,5,0,True,False,False,False,False,False,False,519f7e20-093f-4cd3-8f7d-864650019f02,2024-08-13 13:31:56,Avenida Borges, 57,,Caldas da Rainha,Lisboa,São Vicente e Granadinas,4549-526
08d0baf8-8eb3-4ef9-b1a4-357fe0b1121c,Baptista,68.125115,-78.245569,Nulla dolores laboriosam enim laudantium.,False,False,False,False,False,False,2,0,0,False,1,1,False,False,True,False,False,True,True,519f7e20-093f-4cd3-8f7d-864650019f02,2023-11-16 10:59:55,Travessa de Mendes, 81,,Ourém,Guarda,Egipto,1207-066
65c03d97-6113-4a33-9103-64cd5da33f89,Matos Domingues S/A,43.094767,-118.780605,Quod aliquam dolore.,False,True,True,False,False,True,2,0,0,True,5,0,False,True,True,True,True,False,True,519f7e20-093f-4cd3-8f7d-864650019f02,2020-01-29 07:46:05,Largo Noah Neto, 6,,Gondomar,Faro,Tokelau,2470-698
157ad804-030d-4c50-8471-2856d171589b,Batista S.A.,80.3427085,124.247676,Esse nam quos quasi voluptates.,True,False,False,False,True,True,2,1,0,True,2,1,True,True,True,False,False,False,False,519f7e20-093f-4cd3-8f7d-864650019f02,2024-06-04 16:53:52,R. Nelson Andrade, 63,,Gandra,Beja,Síria,2674-881
7c06cf42-9643-4f89-bfb4-a68744150810,Assunção e Filhos,40.3134575,102.820168,Accusamus blanditiis non accusamus dolorem.,False,True,True,True,True,True,1,1,0,True,4,0,True,False,False,True,True,True,True,519f7e20-093f-4cd3-8f7d-864650019f02,2020-06-06 19:34:15,R. Amaral, 19,,Ponte de Sor,Aveiro,Namíbia,3353-730
e5122576-c30d-45f0-8455-3d71f3ef3386,Alves e Filhos,54.225092,-97.250781,Corrupti eum perspiciatis numquam.,True,True,True,False,False,True,3,2,0,True,0,2,True,True,False,True,True,False,True,519f7e20-093f-4cd3-8f7d-864650019f02,2020-04-29 19:17:27,Alameda Kyara Santos, 7,,Alcácer do Sal,Vila Real,Barém,2634-405
aa194784-8294-4f3f-b5c1-99a0b15f1935,Alves Rocha S/A,30.2307735,-127.099357,Nam magnam hic ducimus totam deleniti.,True,False,False,True,False,False,0,1,0,True,5,0,True,True,True,True,False,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2023-04-26 22:42:21,Alameda Nelson Alves, 7,,Covilhã,Braga,Ashmore and Cartier Islands,9941-234
5e56ef62-97d7-465f-b13d-60b352d4b092,Araújo,-10.7575615,37.631280,Harum facilis eum ipsam.,True,True,True,True,True,True,1,0,2,False,6,1,True,False,True,True,True,False,False,519f7e20-093f-4cd3-8f7d-864650019f02,2025-04-10 12:20:22,Alameda Cardeal Cerejeira, 67,,Elvas,Vila Real,Tanzânia,7365-907
cd98c00e-eb7a-4edc-a75d-3cebf1aa568a,Baptista Lda.,35.845548,112.367897,Recusandae accusamus beatae nisi.,False,False,True,True,True,False,0,0,0,True,1,1,False,False,True,True,False,True,True,519f7e20-093f-4cd3-8f7d-864650019f02,2022-08-17 10:30:40,Rua Mendes, 34,,Vale de Cambra,Santarém,Moçambique,5743-074
2f43a3c9-2cbb-4db0-8fee-0ddd9a0bd281,Silva Nascimento e Filhos,84.616122,152.420613,Assumenda laborum expedita quam.,False,True,True,True,False,False,3,1,1,False,1,0,False,True,False,False,False,False,False,519f7e20-093f-4cd3-8f7d-864650019f02,2022-11-02 13:08:07,R. Pires, 316,,Mealhada,Leiria,Nova Zelândia,2741-645
8c965228-6254-4d44-bf00-d4f647e097bb,Fernandes,-44.484253,65.807221,Minima nulla dignissimos molestias.,False,True,False,True,False,False,2,0,0,False,0,1,False,True,True,True,True,False,True,519f7e20-093f-4cd3-8f7d-864650019f02,2021-11-23 17:21:23,Rua Teixeira, 1,,Póvoa de Varzim,Porto,Sara Ocidental,3062-891
010b2cde-fb91-45c4-a3e7-7dc10c270ae4,Pinto,84.2649445,-2.672453,Iusto sed non aut libero magnam sequi.,False,True,True,False,True,True,2,0,0,True,2,2,True,True,True,False,False,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2023-01-02 02:58:26,Av Manuel Ricardo Espírito Santo, 604,,São João da Madeira,Santarém,West Bank,1627-077
c837dbae-e0c4-4478-84c2-4be9e2ddf7fb,Nunes,-52.398313,106.233229,Est libero aspernatur veniam molestias nesciunt.,False,False,True,True,True,True,0,0,1,False,3,1,False,False,False,False,True,False,False,519f7e20-093f-4cd3-8f7d-864650019f02,2020-07-27 09:33:45,Largo Moreira, 38,,Praia da Vitória,Portalegre,Ashmore and Cartier Islands,1459-974
be6a768b-5b1a-419d-b9ef-cc4268d3f704,Batista,-45.154101,131.297482,Labore facere ullam repellat repellat quaerat.,True,False,True,True,True,False,3,2,1,True,3,2,False,True,False,False,False,False,False,519f7e20-093f-4cd3-8f7d-864650019f02,2024-04-01 23:30:47,Largo Garcia, 3,,Vila Nova de Famalicão,Portalegre,Lituânia,0956-270
b0c18c62-d87a-4c5c-b031-21096d1ab299,Lima,18.638713,101.646415,Consectetur autem aperiam occaecati quia eaque.,True,False,True,True,False,False,3,1,0,True,4,0,True,True,True,False,True,False,True,519f7e20-093f-4cd3-8f7d-864650019f02,2022-11-29 16:42:56,Largo Henrique Simões, 46,,Tarouca,Bragança,Wake Island,5706-234
0189f4b5-9022-47cf-aa66-5dc46f1c55fe,Nascimento,-36.6588015,55.376112,Repellendus harum magni.,False,False,True,False,True,False,0,1,1,True,3,1,False,True,False,False,True,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2025-01-10 23:12:28,Travessa de Moura, 496,,Felgueiras,Porto,Finlândia,7221-085
caf4a369-6dd8-4f87-9e7c-4e44843cd77e,Brito,-12.935730,-77.899685,Amet quis architecto laborum voluptas.,False,False,True,True,True,False,3,2,0,True,4,1,True,True,True,False,False,False,False,519f7e20-093f-4cd3-8f7d-864650019f02,2022-09-25 19:08:20,Rua Beatriz Ribeiro, 80,,Alverca do Ribatejo,Vila Real,Macedónia do Norte,4044-952
af2f4c1a-3a62-4d86-a5f0-44b93e5a4ee6,Nascimento,30.2096985,-130.293841,Magnam aliquid illo laborum quasi ex.,True,False,True,False,True,True,0,0,0,True,6,0,True,True,True,False,False,False,False,519f7e20-093f-4cd3-8f7d-864650019f02,2023-07-12 10:02:04,Av de Neto, 48,,Vila Franca de Xira,Santarém,Guiné,1059-651
6bb9cedf-0414-48ff-b851-d4fdc5603be6,Pinto S/A,-35.1655175,-25.175095,Aliquam veritatis dignissimos voluptatum.,False,True,False,False,True,False,2,0,1,True,3,0,False,False,False,False,False,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2022-01-15 16:13:41,R. Elisa Baptista de Sousa Pedroso, 42,,Vila Nova de Santo André,Porto,Chade,9491-389
1f9c1ab5-57d9-4f08-8da9-fcf16f66536f,Garcia,-38.4729785,-81.071145,Veritatis autem esse veniam.,False,True,False,False,True,False,3,1,0,False,3,2,True,True,False,True,False,False,False,519f7e20-093f-4cd3-8f7d-864650019f02,2022-07-26 01:18:31,Praça Miguel Almeida, 49,,Elvas,Leiria,Áustria,8851-672
45748ffa-2615-49f7-95e4-468f3f762a7c,Guerreiro,-86.8735195,65.566793,In molestiae veniam.,True,True,False,True,False,True,3,2,0,False,1,1,True,True,True,False,False,True,True,519f7e20-093f-4cd3-8f7d-864650019f02,2024-09-02 01:21:58,Praça do Conselho da Europa, 7,,Agualva-Cacém,Setúbal,Porto Rico,3632-302
