wifi_spot_address_id,wifi_spot_address_city,wifi_spot_address_country,wifi_spot_address_district,wifi_spot_address_line_1,wifi_spot_address_line_2,wifi_spot_address_zip_code
c69b2f13-2500-4280-acce-9097d3db8be6,"Leiria","Polinésia Francesa","Quarteira","Avenida Nuno Lourenço, 66","83",0113-230
4e4c20dc-e56d-463a-8f53-ed9042740487,"Vizela","Cuba","Montemor-o-Novo","Av de Valente, 203","46",9310-189
de44da33-a67c-4efe-bd97-7efe4f7c74ae,"Torres Novas","Guatemala","Aveiro","R. de Manuel d'Arriaga, 2","98",0173-137
c2b3fca4-7a75-4e7c-9ca4-72f7a516369e,"Trofa","Egipto","Sabugal","Praça Lúcia Reis, 44","20",2760-887
2a605fe5-3fc0-4269-8bb8-39175b789215,"Tarouca","Bielorrússia","Torres Novas","R. de Pinto, 831","4",0696-102
fcd00eef-0e6c-4763-91c7-5c3ad52bf250,"Vale de Cambra","Ilhas Marshall","Abrantes","R. de Leite, 37","S/N",3690-126
0ced5a01-cae5-4f79-a8d7-d5614c427663,"Loures","Quiribáti","Macedo de Cavaleiros","Av do Caminho Novo, 7","77",1721-337
fc2ec19e-e0a7-401a-ae5e-fe1406fc7cfe,"Vila Nova de Foz Côa","São Vicente e Granadinas","Trancoso","Avenida Matias, 69","S/N",6290-297
004a5647-e2ff-4684-893f-b042df4ad4a1,"Ponta Delgada","Maldivas","Fiães","Praça Freitas, S/N","979",3831-235
f7a6feb3-01b6-4f45-a45e-e8e0530fdeee,"Faro","Guiné-Bissau","Vila Nova de Famalicão","Alameda de Moura, S/N","S/N",1901-446
97a4d69f-2691-4e8a-94f5-3c277adfbaa4,"Porto Santo","Iraque","Amadora","Praça Simões, S/N","47",9268-721
634f988b-460c-4332-a0ba-1e90bc3ef1a6,"Santana","Território Britânico do Oceano Índico","Portalegre","Av de Araújo, 23","21",8815-275
03cf9657-cc69-4c9f-bb5d-efe0f5c1e55d,"Porto","Bolívia","Pombal","Largo Adriana Mendes, 506","S/N",1440-837
2db411c2-482e-428c-8d96-6eb39afc18e9,"Vila Real","Gronelândia","Rebordosa","Alameda do Dr. Nuno Pinheiro Torres, 56","67",5609-296
66e1416f-fef2-4b20-aa38-1c838b909961,"Chaves","Polónia","Peso da Régua","Av de Jesus, 98","8",5272-789
e708a0dc-a075-457e-bf09-c9239d80b694,"Fundão","Haiti","Beja","Alameda de Simões, 621","4",8229-487
37c06677-82cf-4900-9b86-fad45e62331d,"Moura","Nova Caledónia","Esmoriz","R. de Teófilo Braga, 83","65",3557-660
4b849164-ea29-4370-8379-0fa969c00f19,"São João da Madeira","Laos","Alcácer do Sal","Travessa de Morais, 70","61",4548-641
3a6595b8-4a20-4d32-81c1-668772393bc2,"Vila Nova de Santo André","Man, Isle of","Santa Cruz","Travessa de Barros, 41","98",9720-925
2fb675e4-6d50-4c87-a46a-a11db9e4516a,"Cartaxo","Afeganistão","Paços de Ferreira","Praça de Henriques, 707","6",3036-269
81173231-1d11-4699-9c90-9014c4822536,"Loures","Marrocos","Santiago do Cacém","R. de Amorim, 90","29",8887-556
038a5c8f-6cdf-4446-844c-782a73ddf3ef,"Trofa","Suriname","Mêda","R. Matos, S/N","72",1498-635
ab1e4320-5935-40f2-b33b-d75c9010fb77,"Paredes","Irlanda","Vendas Novas","Rua Maria de Lourdes Sá Teixeira, 23","S/N",9431-741
4196cbcd-a900-439a-a21f-d96554dce598,"Horta","Samoa","Matosinhos","Avenida de Leal, 63","7",0253-253
1f092279-7842-4f95-82be-797648be7a0a,"Chaves","Bangladeche","Ponta Delgada","Rua Renata Neves, 98","553",3262-705
970c43fc-d369-41e0-abe1-fc770b69af7b,"Vila Real","Israel","Setúbal","Largo Mia Tavares, 4","S/N",6710-042
d8399177-1933-4f51-8076-8c988b67604c,"Vendas Novas","Guiné Equatorial","Cartaxo","Av Abreu, 45","S/N",1929-558
112b0055-021e-4c53-ad8c-186e9a9f1e40,"Esmoriz","Usbequistão","Lamego","Largo do Mirante, 65","8",0764-559
e5e37979-8825-464e-8a2c-2ab96cf62631,"Coimbra","Afeganistão","Almada","Travessa Miriam Almeida, 5","31",2666-433
b29ff7d3-c226-427c-87ce-89fbb09683ee,"Oliveira do Bairro","Porto Rico","Cartaxo","Largo Gil Torres, 24","359",2187-612
189d55a0-143f-49c8-be21-0001e465202e,"Moura","Quénia","Abrantes","R. Correia, 77","S/N",5839-873
0160bec6-ab70-45b6-abc2-788062288ce7,"Montijo","Belize","Felgueiras","R. Barros, 587","85",8098-649
3799f868-2b66-4ac0-9268-60245e61951b,"São João da Madeira","Sara Ocidental","Vila Nova de Foz Côa","Praça de Barros, 165","227",0396-515
2e06230c-07df-43a4-b1ec-1aeac5ac536b,"Almada","Bielorrússia","Santo Tirso","Alameda de Colares, 6","9",3694-452
bcbacb8f-c2d9-4156-9915-12c596a2b52d,"Ribeira Grande","Áustria","Alcobaça","R. Machado, 82","S/N",5130-670
7c6d4e65-961c-4bef-801c-f21f2ac6c171,"Bragança","Serra Leoa","Funchal","Avenida Vera Ferreira, 5","9",4216-651
bdf9805a-4cb2-47f9-a87c-497a2cfa775d,"Felgueiras","Vaticano","Santarém","Praça Jéssica Garcia, 82","372",6293-418
dc736a2c-d773-4b5c-8cd2-c094761fcd7a,"Torres Vedras","Bermudas","Esmoriz","Av Alexandra Alves, S/N","218",9893-885
2eaec2c5-3653-491e-afa6-889e2133afbb,"Matosinhos","Guiné","Espinho","Av de Loureiro, 73","S/N",6414-805
c23f4c7f-1949-40bf-9b69-faf630c4e695,"Gafanha da Nazaré","Libéria","Loures","Avenida de Nogueira, 22","59",0937-654
70f9cffc-9b4b-470c-94c5-ee6037727a84,"Entroncamento","Jibuti","Agualva-Cacém","Alameda Paulo Reis, 181","124",8113-498
7a6dd27f-0c5e-4483-9a31-7d3b9efa6767,"Lisboa","Países Baixos","Figueira da Foz","Rua Juliana Pinheiro, S/N","664",6456-836
7607ad33-2579-4ea8-9c53-24b88d2d7af5,"Entroncamento","Niue","Reguengos de Monsaraz","Travessa de Assunção, 6","173",8688-527
cbe04045-ff4d-4f01-a0ca-c1a1923df2d1,"Funchal","Lesoto","Reguengos de Monsaraz","Alameda Campos, 9","2",0223-904
bb695cd5-8288-4574-87b2-986307305fa1,"Barcelos","Países Baixos","Oliveira do Hospital","Alameda Cardoso, S/N","54",1814-781
4f225bde-a5e2-40fe-98a4-3e023a3d6e11,"Tomar","Butão","Viseu","Av Moreira, 20","52",7500-722
10a44356-ec55-48cb-93f2-cafd8e9e1de6,"Abrantes","Quénia","Vila Nova de Santo André","Travessa de Ferreira, 65","30",1020-473
ce045b9f-9ba9-4f45-85f6-4872955ada7c,"Caniço","Ilha do Natal","Amadora","Avenida de Palma, 12","80",8319-906
b63041df-3ca3-4376-97d1-f1410fc65f8d,"Braga","Afeganistão","Amarante","Avenida de Santo António dos Capuchos, 558","18",6481-473
2be47a68-3056-4ef9-8ef4-c25d99837ae2,"Amarante","Hungria","Caniço","Av do Sapal, 1","10",9641-964
5d57a65f-5de8-4a4d-80b4-b4d9f9024511,"Vila Real de Santo António","Território Britânico do Oceano Índico","Esposende","Alameda Macedo, 738","35",5559-686
52f922a2-9b52-448b-9c9e-fbd972002134,"Torres Vedras","Irlanda","Santa Cruz","Largo Mafalda Valente, 49","S/N",0250-127
d9b3ef91-06fd-45d0-b596-30b7c3278124,"Santo Tirso","Alemanha","Coimbra","Alameda de Neto, 5","67",7935-260
07b44bc6-2fae-425f-90ea-984edf157a99,"Estremoz","Santa Lúcia","Peniche","Travessa de Gustavo Eiffel, 7","4",2959-643
20163d35-384f-4053-9ee0-7ef99caaadb1,"Vila Franca de Xira","Afeganistão","Peniche","Largo de Simões, 74","5",7188-316
cde74e0f-e42f-42c7-b0a5-9afcbe872a6d,"Cantanhede","Jamaica","Lagoa","Alameda de Carvalho, 571","672",2718-686
fbf314a7-6a6f-4f7f-b4b9-3b49ce3302f2,"Esmoriz","Ilhas Heard e McDonald","Sabugal","Avenida de Melo, 47","7",1172-920
1c7872fb-7a5f-4519-8628-ffb5a0620a70,"Fátima","Senegal","Peso da Régua","Avenida do Bolhão, 889","59",5635-722
1040c8fa-6939-45de-8820-0ffa2aaa209f,"Gandra","Islândia","Gandra","R. Juliana Borges, 88","75",2728-711
4372d315-a843-478c-998b-e55ac8b1d034,"Lagos","Moldávia","Leiria","Largo Carvalho, 676","55",3729-701
a242ff9c-31f4-405a-8dfe-fe9663ca16b7,"Peniche","Ilhas dos Cocos","Rio Maior","Avenida de Barros, 56","291",2074-283
f69f6e56-90d9-4f48-a3c1-c0ec8031db0a,"Ribeira Grande","Ilhas Caimão","Marinha Grande","R. Ribeiro, 9","S/N",5027-119
9866f793-d9cc-44cb-a22b-ab51cfdbb6a0,"Barcelos","Nicarágua","São João da Madeira","Praça do Cerco do Porto, S/N","54",6737-638
91511db9-0d3f-458c-a602-96217fa9b676,"Loulé","Território Britânico do Oceano Índico","Albufeira","R. de Esteves, 8","59",6447-894
e38d41e9-4446-4d38-9d4e-024d85dd2f55,"São Mamede de Infesta","Sara Ocidental","Mirandela","Travessa Margarida Almeida, 142","19",1040-720
af1a10f1-964b-4f42-9fde-aecbfc13bff9,"Santarém","Tokelau","Valbom","Travessa Sebastião Azevedo, 60","27",6081-299
b85445d4-58d8-4180-908a-a27b84bbf7f4,"Amora","Moldávia","Olhão","Praça Diogo Moreira, 7","S/N",5016-209
962ee36b-9895-4c4a-b6c5-af9522a981e1,"Porto","Etiópia","Seixal","R. de Costa, 91","21",1003-682
457d560b-2802-452b-8649-14b5f612955d,"Caldas da Rainha","Emiratos Árabes Unidos","Miranda do Douro","Av de Barbosa, 5","645",5145-403
8364df57-816c-408c-ab2c-ad250a483f0c,"Estarreja","Zimbabué","Almeirim","R. Kyara Borges, 46","1",1619-952
ba91b072-0b45-4d39-8580-64794327303a,"Póvoa de Varzim","Afeganistão","Serpa","Largo Diogo Loureiro, 73","63",3768-648
7d7e47f0-8f24-4b18-b5ed-76dc54098657,"Vila Real de Santo António","República Dominicana","Câmara de Lobos","Avenida das Verdades, S/N","81",2609-628
3a55c750-7103-4190-aa10-8e378095c614,"Guarda","Timor Leste","Espinho","Rua de Carneiro, 83","97",0602-323
24544133-0fdb-457d-b8a1-4817e064eff5,"Lourosa","Paracel Islands","Alcobaça","Travessa Martins, 33","45",3952-541
67ceda61-87d0-4a9d-a848-f34e19fc84db,"Funchal","Panamá","Vila Franca de Xira","Travessa de Reis, 984","S/N",9422-020
ab669f46-ff2e-42c7-a0d7-a1567fb7031c,"Portimão","México","Oliveira do Hospital","R. Prof. Francisco Caldeira Cabral, 27","461",8957-620
2f828e89-a3fd-4ad3-8919-19077e3c4406,"Barreiro","Israel","São Salvador de Lordelo","Rua Álvaro Almeida, S/N","26",3609-209
53d8eb2e-8d36-42d4-b310-ae274e27c4bb,"Pinhel","Coreia do Sul","Olhão","Avenida de Torres, 88","92",5484-944
915128b6-8885-41fb-8f12-a277df2dba7b,"Tarouca","Suíça","Esposende","Travessa de Monteiro, 40","91",8949-577
43e216a0-a40c-4077-a386-bc4082746858,"Quarteira","Gâmbia","Miranda do Douro","Rua do Marechal Gomes da Costa, 935","764",5540-905
aa12f60e-3542-4bf8-8e83-ac73faeb7923,"Trofa","Dhekelia","Lagos","Av do Freixo, 74","S/N",9024-940
bc14e2b7-1526-43f3-a005-660404f400be,"Sines","Camarões","Mêda","Alameda Salvador Carvalho, 63","62",0195-082
fddf87d3-8cbe-4af5-addb-1b80c7c64dc6,"Santiago do Cacém","Honduras","Alverca do Ribatejo","Av Carvalho, 3","S/N",8530-399
b39a1abe-24cc-461b-bf63-df21517e0cab,"Póvoa de Varzim","África do Sul","Cartaxo","R. Roma, 56","48",6474-304
f16c8262-6a2e-433f-ba9d-61baabcf25dc,"Lamego","Chade","Vizela","Alameda Luís Figueiredo, 77","83",1909-927
5f65d340-f68d-48d4-8c40-75724c59a026,"Valongo","Nova Caledónia","Ribeira Grande","Avenida Álvaro Lima, 121","929",6660-542
5b34dfe2-87a3-42b9-98dc-56ca43955ae9,"Póvoa de Santa Iria","Israel","Costa da Caparica","Avenida Sá, 75","73",6960-891
f9bf5c38-73cf-4bb3-a72a-b9e9e53e2f4a,"Felgueiras","Granada","Loures","Largo Cunha, 95","42",9154-217
b06b13c1-fd23-49cb-9d21-2429358f8d68,"Braga","África do Sul","Amarante","Av Futebol Clube do Porto, 7","S/N",1347-823
1b1720da-eff0-41b8-b579-74ec6b1366de,"Tavira","Argentina","Chaves","Av de Costa, S/N","2",4591-743
ff4140d7-7362-4945-a860-baf7693ee43d,"Alcobaça","Suriname","Torres Novas","Av Matilde Bensaúde, 32","58",6372-786
b28c0f2b-0166-4bdc-8b92-ed171c1e5321,"Esmoriz","Nauru","Gafanha da Nazaré","Praça Matias Miranda, 7","694",1114-457
122b6025-f3fe-42bd-b11a-60e5d1edfb58,"Viana do Castelo","Barbados","Aveiro","Alameda de Reis, 32","8",4984-716
e4d8c4d3-bc35-45c3-ac81-ac76249869d6,"Torres Novas","Man, Isle of","Tarouca","Alameda de Gomes, 26","3",0141-004
7de9663e-9bcc-41d5-83f3-425c042059ac,"Bragança","Barém","Fafe","R. Simões, 555","81",9715-262
cafe6577-92f1-40e4-9d99-545741067c14,"Castelo Branco","Svalbard e Jan Mayen","Gafanha da Nazaré","Travessa Domingues, 58","8",7524-182
3ba177ae-022b-44bd-a026-a9d28ef566a8,"Coimbra","Ashmore and Cartier Islands","Seixal","Av de Mendes, S/N","60",9369-109
7a29f619-dec9-4e32-ba45-3ede4ab8f53a,"Fundão","Albânia","Almeirim","R. Lisandro Jesus, 301","7",8464-730
7a3e861c-c12e-4b88-b4ca-965b0a568e40,"Ponta Delgada","Zâmbia","Maia","Largo Lucas Oliveira, 90","S/N",4205-158
d34d213c-91af-4ecc-9331-16eabb4129f9,"Matosinhos","Iémen","Funchal","Largo de Vicente, 59","576",3075-738
2ca29481-4c98-4a96-b0d8-f78c66141d42,"Praia da Vitória","França","Estremoz","Avenida Correia, 87","34",1048-918
c5e01018-6b65-41df-9f15-2a8a29d81091,"Sintra","Índia","Mirandela","Alameda de Branco, 30","83",4027-217
a199018e-6bb1-4e1d-bbca-a9088633c8c6,"Entroncamento","Sudão","Castelo Branco","Travessa Cristiano Ferreira, 75","S/N",7706-358
52dd4da6-c2a5-42b2-a08f-6b5462bdfd0b,"Vila Nova de Famalicão","Uganda","São Mamede de Infesta","Largo de Fernandes, 958","60",4936-662
ab1f1895-b701-4307-8f94-b2691be7dbef,"Faro","Bósnia e Herzegovina","Pombal","Praça de Vaz, S/N","79",7348-620
a07f516d-2602-4c81-a96a-e7a9b96f127b,"Vizela","Grécia","Rio Maior","Travessa Magalhães, 211","26",2009-853
59b3540d-3d9a-4978-a2ae-a0a811964748,"Alverca do Ribatejo","Argélia","Amora","Largo de Cruz, 40","9",7754-067
03796dce-5981-4d10-ba8e-cb78ff5faa69,"Entroncamento","Clipperton Island","Vila Real de Santo António","Rua Nunes, S/N","S/N",3249-352
b2f827a2-6673-4eef-96ad-4945d6983ded,"Rio Tinto","Monserrate","Sines","Largo da Baleia, 18","9",6473-910
b961b48c-d42a-43ea-a26a-31456452a98c,"Gondomar","Guatemala","Praia da Vitória","Travessa Andrade, 673","40",9689-424
0393c7f0-4061-40f3-9c2b-4967e5cdc9d8,"Montijo","Jordânia","Vendas Novas","Av Cruz, 23","37",8405-557
41c193e2-a391-473a-a576-5beef89adcb5,"Queluz","Iraque","Tavira","R. de Baixo, 951","87",3726-540
5ff22867-c908-423a-9a33-9ac4224fefc0,"Faro","Hungria","Montemor-o-Novo","Av das Garças, 6","S/N",3983-747
8448c3b9-9b2a-4c2e-97f0-505da52cc009,"São Mamede de Infesta","Ilhas Marshall","Oliveira de Azeméis","Praça Ivo Lourenço, S/N","1",2135-951
0c182e0c-919d-4358-9c14-3f8654b77632,"Funchal","Barém","Chaves","Praça Mariana Rocha, 24","68",9118-569
71d85464-3ab6-4518-89b9-ec4e3641990c,"Barreiro","Zimbabué","Montijo","Travessa de Alves, 664","S/N",2678-808
88fb3495-90fd-4ad2-9e6c-1c7b331e2151,"Braga","Catar","Estarreja","Travessa Tavares, 86","24",9067-714
305f49e4-031c-4197-9851-8b8b23a308d9,"Gouveia","Afeganistão","Montijo","Travessa Afonso Almeida, S/N","47",0960-072
e56064b2-e1ca-4a81-89e7-3215883c5f1f,"Abrantes","Butão","Vale de Cambra","Praça de Fonseca, 63","68",7855-894
84512020-828c-4842-ad57-ca781f6d3b25,"Alcácer do Sal","Bósnia e Herzegovina","Rebordosa","Av do Carvão, S/N","15",8225-457
b2638850-5285-420c-9a62-2e4d384a1cc6,"Évora","Jersey","Freamunde","R. de Matos, 87","99",9684-792
5dd9149b-3c0b-4886-9a01-65ba1f043d57,"Fundão","Bósnia e Herzegovina","Serpa","R. Carminho Magalhães, 576","12",9366-097
05e4474f-b625-493d-af86-1f3390c57f2d,"Caldas da Rainha","Espanha","Mealhada","R. de Barbosa, S/N","742",7565-508
e5fadb33-c760-40d5-a469-cadcb5a0e975,"Bragança","Montenegro","Barcelos","Alameda Cruz, 471","40",3229-990
65bf8416-45ed-41c0-be0f-c189f2f8c7ed,"Quarteira","Paracel Islands","Santarém","Travessa de Guerreiro, S/N","94",3825-418
f46f1e14-5d8e-4bb7-94be-221a157dbb59,"Vale de Cambra","Bangladeche","Gouveia","Alameda Brito, 23","72",0926-146
e68039bd-bd8b-4cf4-aa39-959742a2dce9,"Ílhavo","Turquia","Vizela","Avenida de Carneiro, 989","156",8476-263
4c403726-f6ce-44fc-83d2-868df942b96c,"Vila Nova de Santo André","Malávi","Loulé","Praça Irmã Lúcia, 596","10",0879-296
0a78974e-8b49-45ef-b9e5-6fd5bf90b49b,"Penafiel","Anguila","Rio Maior","Largo Severo Portela, 818","S/N",1033-073
212ef92b-7257-4901-8923-af63143fc617,"Santa Maria da Feira","Itália","Ovar","Avenida de Tavares, 25","S/N",7525-736
e95cd7d5-aca1-4202-adc0-20a3b3ab4bdd,"Gouveia","Uruguai","Trancoso","Praça Silva Porto, 82","93",5018-586
cbed2489-d13c-464e-9b47-015e570554d8,"Bragança","Portugal","Costa da Caparica","Av Visconde de Alvalade, 88","52",3549-036
4de264b0-aec4-4ee9-88a9-89b0c4716617,"Santarém","Luxemburgo","Póvoa de Santa Iria","Travessa de Maia, 949","S/N",4921-831
da22dc5f-1483-4045-a7d0-e8fa79cce35c,"Aveiro","Quiribáti","Matosinhos","Avenida Denis Vieira, 54","90",7939-988
fa15b5f3-68a1-4ae2-8be7-d50902492c31,"Alcobaça","Irlanda","Amora","Alameda dos Jacarandás, 7","S/N",3623-046
d4ef5f96-9548-4497-859a-747645fd720f,"Sacavém","Chile","Lagoa","Largo Márcio Freitas, 314","S/N",7296-408
76710829-4227-48da-8252-38b46ee45b49,"Gondomar","Antilhas Neerlandesas","Santa Cruz","Rua da Expo 98, 17","S/N",3960-375
351c5dbe-f8bd-4209-9f4d-c45e1174d0cf,"Paços de Ferreira","Tonga","Lagoa","Largo Fabiana Rodrigues, 8","80",7111-292
d496e462-cc6b-465a-958f-3170ebca9e9c,"Amora","Nova Caledónia","Vila Nova de Foz Côa","Praça de Vaz, 41","30",5021-298
965fa34c-bb90-4195-9c00-558f6c559d09,"Lagoa","Mundo","Lisboa","Largo Costa, 49","89",6933-969
4713afc6-4fab-43c2-a42a-0f804d8cdfd0,"Penafiel","Turquemenistão","Alverca do Ribatejo","Largo Paris (Poente), 65","569",2917-477
99b1cde9-d80f-4e6a-9973-81803ccd88c1,"Macedo de Cavaleiros","Rússia","Gandra","Av das Naus, 87","153",4697-936
7df71ffa-f056-40b9-8e18-d501ce54eb9a,"Espinho","Antígua e Barbuda","Setúbal","R. de Monchique, 99","9",2094-102
f5bc6e45-ec27-4ca5-a364-c476073af4c1,"Alcobaça","Mundo","Alcácer do Sal","Praça de Monchique, 733","6",5786-271
74eb152e-9c9c-40e4-b98a-bddc3366e1c0,"Odivelas","Montenegro","Ílhavo","Alameda Ramos, 37","48",6470-960
095321cc-3084-477e-ac7a-d8b619e9e6d5,"Aveiro","Índia","Lagos","Av Goelas de Pau, 7","55",3218-726
8d454bf1-9441-421f-907e-e06fb7b414a1,"Rio Maior","Gibraltar","Évora","Alameda Gomes, 95","72",8450-501
00c2b814-8492-42f6-a765-99844c29197b,"Lourosa","Ilhas Heard e McDonald","Costa da Caparica","Avenida de Carreiras, S/N","S/N",9966-256
14436484-bee2-4038-a7bf-dbc666b61e01,"Penafiel","Estónia","Gandra","Av Andrade, 802","77",8383-473
c835110d-2977-41d1-a067-c0ce9ccdb282,"Fiães","São Marinho","Portimão","Alameda dos Heróis do Mar, 174","20",2379-929
491db9ce-d5d1-40d1-aa4e-f4b1b64a8a72,"Covilhã","Arábia Saudita","Chaves","Praça Nunes, 69","76",5107-423
a6746bef-dbf1-45a7-b5ef-b4499db8ee79,"Fafe","Coral Sea Islands","Santa Cruz","Avenida Ema Pereira, S/N","525",3753-215
7bbaa8f4-f133-455e-8f2a-2f70f8ed6170,"Paredes","São Cristóvão e Neves","Valongo","Praça de Pinto, 45","S/N",9589-951
39fbb82c-3146-45b1-b604-e323982304e6,"Tavira","Ruanda","Alcobaça","R. de Matos, 617","2",6222-340
5849bbf1-44d1-4e2e-b066-44b9bea6c425,"Seia","Man, Isle of","Santiago do Cacém","Rua Mafalda Matias, 64","65",5290-611
477b94d2-eb35-4ada-af6b-d68be0b14137,"Braga","Laos","Beja","Praça Pinheiro, 79","4",1506-614
6b0811d1-f1d5-42c5-852d-2528ebfe669e,"Agualva-Cacém","Butão","Porto Santo","Av Garcia, 97","35",1961-177
cc8d570a-e41e-4188-b773-034631304ab6,"Pinhel","Polinésia Francesa","Santa Maria da Feira","Alameda Anjos, 43","90",8423-532
18a80605-3b84-4596-a8de-c2f73ef1f1e9,"Peniche","Arménia","Ílhavo","Alameda de Neves, S/N","77",4443-384
f5894289-287c-4f56-b08b-494907936d0b,"Barreiro","Síria","Faro","Praça Cardoso, 84","589",5678-256
